No;Plants;DayAmdmt;Amdmt;ID;Day;W;M
S204;1;21;1;D;2;70300;194231
S112;0;11;1;B;1;24858;66259
S134;1;11;1;D;1;54847;160528
S207;0;21;1;B;2;30271;92195
S202;0;21;1;B;2;62920;177576
S139;1;11;1;D;1;57219;154140
S122;0;11;1;B;1;52490;144165
S212;0;21;1;B;2;62570;182194
S117;0;11;1;B;1;16760;42672
S104;1;11;1;D;1;54818;114744
S214;1;21;1;D;2;26890;80111
S109;1;11;1;D;1;28420;67595
S217;0;21;1;B;2;16811;50267
S229;1;21;1;D;2;27760;79751
S132;0;11;1;B;1;69870;159316
S209;1;21;1;D;2;21679;66304
S227;0;21;1;B;2;24939;70264
S107;0;11;1;B;1;33999;89279
S237;0;21;1;B;2;20473;58707
S224;1;21;1;D;2;25134;71862
S127;0;11;1;B;1;41171;102896
S137;0;11;1;B;1;14948;39923
S114;1;11;1;D;1;10803;32270
S124;1;11;1;D;1;30108;80993
S119;1;11;1;D;1;43700;107700
S219;1;21;1;D;2;31658;80076
S232;0;21;1;B;2;21926;58509
S129;1;11;1;D;1;8408;20502
S102;0;11;1;B;1;20578;53441
S234;1;21;1;D;2;21069;61880
S222;0;21;1;B;2;23182;65645
S239;1;21;1;D;2;9449;25626
